LOGISTICAL_AREA,YEAR,MONTH,AREA,METHOD,ITEM,ADIPOSE_MODIFIER,DISPOSITION,RETAINABLE,ITEM_GROUP,ESTIMATE,VARIANCE
Haida Gwaii,2012,8,Area 1,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,192.38,36625.67
Haida Gwaii,2012,8,Area 101,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,272.43,73398.39
Haida Gwaii,2012,8,Area 101,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,90.81,8155.38
Haida Gwaii,2012,8,Area 102,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,70.25,4865.25
Haida Gwaii,2012,8,Area 102,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,90.81,8155.38
Haida Gwaii,2012,8,Area 102,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,181.62,32621.51
Central Coast,2012,8,Area 106,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,70.25,4865.25
Port Hardy,2012,8,Area 11,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,70.25,4865.25
Port Hardy,2012,8,Area 11,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,210.76,43787.29
Port Hardy,2012,8,Area 11,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,1042.06,1082756.92
Central Coast,2012,8,Area 110,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,306.72,93463.72
Port Hardy,2012,8,Area 111,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,166.44,14021.67
Port Hardy,2012,8,Area 12,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,528.97,152927.83
Port Hardy,2012,8,Area 12,Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,66.74,4387.37
Port Hardy,2012,8,Area 12,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,3078.61,2833835.21
Port Hardy,2012,8,Area 12,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,904.41,262744.49
Port Hardy,2012,8,Area 12,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,2210.78,3175144.28
Port Hardy,2012,8,Area 12,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,594.55,223345.44
Port Renfrew,2012,8,Area 121,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,991.91,236653.9
Port Renfrew,2012,8,Area 121,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,1252.82,1126544.2
Port Renfrew,2012,8,Area 121,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,192.38,36625.67
Port Renfrew,2012,8,Area 121,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,347.35,120306.32
Port Renfrew,2012,8,Area 121,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,400.43,157945.41
Port Renfrew,2012,8,Area 121,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,600.65,355377.16
Barkley,2012,8,Area 123,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,5807.67,9067353.61
Barkley,2012,8,Area 123,Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,562.03,153692.13
Barkley,2012,8,Area 123,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,2288.81,936780.28
Barkley,2012,8,Area 123,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,4218.81,8717874.33
Barkley,2012,8,Area 123,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,4863.03,8913338.14
Barkley,2012,8,Area 123,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,832.5,137914.18
Barkley,2012,8,Area 123,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,835.21,490831.05
Tofino,2012,8,Area 124,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,276.44,45219.96
Tofino,2012,8,Area 124,Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,152.44,22934.42
Tofino,2012,8,Area 124,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,1050.62,312939.08
Tofino,2012,8,Area 124,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,410.28,84223.95
Tofino,2012,8,Area 124,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,152.44,22934.42
Tofino,2012,8,Area 124,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,1156.06,318962.48
Tofino,2012,8,Area 124,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,146.48,10598.86
Tahsis/Nootka,2012,8,Area 125,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,1856.92,301812.02
Tahsis/Nootka,2012,8,Area 125,Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,304.89,33594.08
Tahsis/Nootka,2012,8,Area 125,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,3365.8,1029532.74
Tahsis/Nootka,2012,8,Area 125,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,2841.33,2405069.24
Tahsis/Nootka,2012,8,Area 125,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,289.44,32187.05
Tahsis/Nootka,2012,8,Area 125,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,1047.88,253028.16
Tahsis/Nootka,2012,8,Area 125,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,76.22,5733.6
Kyuquot,2012,8,Area 126,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,613.44,373854.87
Kyuquot,2012,8,Area 126,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,1853.37,645849.71
Kyuquot,2012,8,Area 126,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,1606.3,711254.26
Kyuquot,2012,8,Area 126,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,2629.34,4181802.22
Kyuquot,2012,8,Area 126,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,272.43,73398.39
Winter Harbour,2012,8,Area 127,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,152.44,11305.7
Winter Harbour,2012,8,Area 127,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,167.03,13888.98
Winter Harbour,2012,8,Area 127,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,243.25,31089.8
Winter Harbour,2012,8,Area 127,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,228.67,51602.44
Winter Harbour,2012,8,Area 127,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,1005.48,519819.05
Winter Harbour,2012,8,Area 127,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,181.62,32621.51
Campbell River,2012,8,Area 13,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,743.97,174762.05
Campbell River,2012,8,Area 13,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,3717.3,4857687.4
Campbell River,2012,8,Area 13,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,768.87,246179.18
Campbell River,2012,8,Area 13,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,1072.49,519191.05
Campbell River,2012,8,Area 13,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,133.48,17549.49
Campbell River,2012,8,Area 14,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,2520.55,1999132.65
Campbell River,2012,8,Area 14,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,15405.73,113570560
Campbell River,2012,8,Area 14,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,539.73,156931.99
Haida Gwaii,2012,8,Area 142,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,334.06,55555.93
Haida Gwaii,2012,8,Area 142,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,1945.02,2042016.88
Haida Gwaii,2012,8,Area 142,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,2100,3138144.14
Haida Gwaii,2012,8,Area 142,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,76.22,5733.6
Nanaimo,2012,8,Area 17,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,807.53,650483.7
Nanaimo,2012,8,Area 17,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,1154.88,770790.02
Nanaimo,2012,8,Area 17,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,403.76,162620.92
Nanaimo,2012,8,Area 17,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,21369.7,158033557
Victoria,2012,8,Area 19,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,694.7,481225.3
Victoria,2012,8,Area 19,Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,153.36,23365.93
Victoria,2012,8,Area 19,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,288.57,45340.81
Victoria,2012,8,Area 19,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,694.7,481225.3
Haida Gwaii,2012,8,Area 2,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,1964.85,1350339.7
Haida Gwaii,2012,8,Area 2,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,766.8,584148.24
Victoria,2012,8,Area 20,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,837.08,230117.4
Victoria,2012,8,Area 20,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,2700.45,3254881.13
Victoria,2012,8,Area 20,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,1125.81,751152.92
Victoria,2012,8,Area 20,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,1145.87,298435.13
Port Renfrew,2012,8,Area 21,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,384.76,146502.68
Port Renfrew,2012,8,Area 21,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,1262.7,587382.73
Barkley,2012,8,Area 23,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,7557,34084533.6
Barkley,2012,8,Area 23,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,12101.11,29439606.65
Barkley,2012,8,Area 23,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,1906.95,971792.21
Barkley,2012,8,Area 23,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,1376.12,654785.04
Barkley,2012,8,Area 23,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,3172.57,8394095.76
Barkley,2012,8,Area 23,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,347.35,120306.32
Tofino,2012,8,Area 24,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,410.28,84223.95
Tofino,2012,8,Area 24,Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,606.49,226818.85
Tofino,2012,8,Area 24,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,133.48,17549.49
Tofino,2012,8,Area 24,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,400.43,157945.41
Tofino,2012,8,Area 24,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,322.12,52082.52
